emotion_id,face_id,motion_id,voice_id,text_id
1,7,7,1520_000_001,ET_挨拶_1520
2,3,2,1520_000_002,ET_感謝_1520
3,5,3,1520_000_003,ET_謝罪_1520
4,8,9,1520_000_004,ET_賞賛_1520
5,6,8,1520_000_005,ET_驚愕_1520
6,9,6,1520_000_006,ET_困惑_1520
7,1,1,,
8,4,11,1520_000_007,ET_挑発_1520
9,1,1,,
10,1,1,,
11,1,1,,
12,1,1,1520_000_008,
13,1,1,1520_000_009,
14,1,1,1520_000_010,
15,2,10,1520_000_011,ET_敗北_1520
16,2,3,1520_000_012,ET_サレンダー敗北_1520
17,4,4,1520_000_013,ET_進化1_1520
18,4,4,1520_000_014,ET_進化2_1520
19,4,4,1520_000_015,ET_進化3_1520
20,2,5,1520_000_016,
21,2,5,1520_000_017,
22,2,5,1520_000_018,
23,2,5,1520_000_019,
24,2,5,1520_000_020,
25,5,6,1520_000_021,
26,5,6,1520_000_022,
27,5,6,1520_000_023,
28,,,,
29,,,,
30,1,1,char_select_1520,
