emotion_id,face_id,motion_id,voice_id,text_id
1,7,7,1530_000_001,ET_挨拶_1530
2,3,2,1530_000_002,ET_感謝_1530
3,5,3,1530_000_003,ET_謝罪_1530
4,8,9,1530_000_004,ET_賞賛_1530
5,6,8,1530_000_005,ET_驚愕_1530
6,9,6,1530_000_006,ET_困惑_1530
7,1,1,,
8,4,11,1530_000_007,ET_挑発_1530
9,1,1,,
10,1,1,,
11,1,1,,
12,1,1,1530_000_008,
13,1,1,1530_000_009,
14,1,1,1530_000_010,
15,2,10,1530_000_011,ET_敗北_1530
16,2,3,1530_000_012,ET_サレンダー敗北_1530
17,4,4,1530_000_013,ET_進化1_1530
18,4,4,1530_000_014,ET_進化2_1530
19,4,4,1530_000_015,ET_進化3_1530
20,2,5,1530_000_016,
21,2,5,1530_000_017,
22,2,5,1530_000_018,
23,2,5,1530_000_019,
24,2,5,1530_000_020,
25,5,6,1530_000_021,
26,5,6,1530_000_022,
27,5,6,1530_000_023,
28,,,,
29,,,,
30,1,1,char_select_1530,
