emotion_id,face_id,motion_id,voice_id,text_id
1,7,7,99004_000_001,ET_挨拶_99004
2,3,2,99004_000_002,ET_感謝_99004
3,5,3,99004_000_003,ET_謝罪_99004
4,8,9,99004_000_004,ET_賞賛_99004
5,6,8,99004_000_005,ET_驚愕_99004
6,9,6,99004_000_006,ET_困惑_99004
7,1,1,,
8,4,11,99004_000_007,ET_挑発_99004
9,1,1,,
10,1,1,,
11,1,1,,
12,1,1,99004_000_008,
13,1,1,99004_000_009,
14,1,1,99004_000_010,
15,2,10,99004_000_011,ET_敗北_99004
16,2,3,99004_000_012,ET_サレンダー敗北_99004
17,4,4,99004_000_013,ET_進化1_99004
18,4,4,99004_000_014,ET_進化2_99004
19,4,4,99004_000_015,ET_進化3_99004
20,2,5,99004_000_016,
21,2,5,99004_000_017,
22,2,5,99004_000_018,
23,2,5,99004_000_019,
24,2,5,99004_000_020,
25,5,6,99004_000_021,
26,5,6,99004_000_022,
27,5,6,99004_000_023,
28,,,,
29,,,,
30,1,1,char_select_99004,
