emotion_id,face_id,motion_id,voice_id,text_id
1,7,7,99003_000_001,ET_挨拶_99003
2,3,2,99003_000_002,ET_感謝_99003
3,5,3,99003_000_003,ET_謝罪_99003
4,8,9,99003_000_004,ET_賞賛_99003
5,6,8,99003_000_005,ET_驚愕_99003
6,9,6,99003_000_006,ET_困惑_99003
7,1,1,,
8,4,11,99003_000_007,ET_挑発_99003
9,1,1,,
10,1,1,,
11,1,1,,
12,1,1,99003_000_008,
13,1,1,99003_000_009,
14,1,1,99003_000_010,
15,2,10,99003_000_011,ET_敗北_99003
16,2,3,99003_000_012,ET_サレンダー敗北_99003
17,4,4,99003_000_013,ET_進化1_99003
18,4,4,99003_000_014,ET_進化2_99003
19,4,4,99003_000_015,ET_進化3_99003
20,2,5,99003_000_016,
21,2,5,99003_000_017,
22,2,5,99003_000_018,
23,2,5,99003_000_019,
24,2,5,99003_000_020,
25,5,6,99003_000_021,
26,5,6,99003_000_022,
27,5,6,99003_000_023,
28,,,,
29,,,,
30,1,1,char_select_99003,
