emotion_id,face_id,motion_id,voice_id,text_id
1,7,7,99007_000_001,ET_挨拶_99007
2,3,2,99007_000_002,ET_感謝_99007
3,5,3,99007_000_003,ET_謝罪_99007
4,8,9,99007_000_004,ET_賞賛_99007
5,6,8,99007_000_005,ET_驚愕_99007
6,9,6,99007_000_006,ET_困惑_99007
7,1,1,,
8,4,11,99007_000_007,ET_挑発_99007
9,1,1,,
10,1,1,,
11,1,1,,
12,1,1,99007_000_008,
13,1,1,99007_000_009,
14,1,1,99007_000_010,
15,2,10,99007_000_011,ET_敗北_99007
16,2,3,99007_000_012,ET_サレンダー敗北_99007
17,4,4,99007_000_013,ET_進化1_99007
18,4,4,99007_000_014,ET_進化2_99007
19,4,4,99007_000_015,ET_進化3_99007
20,2,5,99007_000_016,
21,2,5,99007_000_017,
22,2,5,99007_000_018,
23,2,5,99007_000_019,
24,2,5,99007_000_020,
25,5,6,99007_000_021,
26,5,6,99007_000_022,
27,5,6,99007_000_023,
28,,,,
29,,,,
30,1,1,char_select_99007,
